"ID";"global_id";"AdmArea";"District";"Address";"RegionOfFair";"PeriodOfPlacement";"Goods";"geoData";
"34";"918223355";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Рязанская область";"11.04.2019-17.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"34";"918223356";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Владимирская область";"01.04.2019-07.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"34";"918223357";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Костромская область";"01.04.2019-07.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"34";"918223358";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Республика Беларусь";"21.04.2019-27.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"35";"918223359";"Южный административный округ";"район Царицыно";"город Москва, Пролетарский проспект, дом 18";"Ивановская область";"11.04.2019-17.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.656693306607316, 55.634940316808425]}";
"35";"918223360";"Южный административный округ";"район Царицыно";"город Москва, Пролетарский проспект, дом 18";"Курская область";"21.04.2019-27.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.656693306607316, 55.634940316808425]}";
"35";"918223361";"Южный административный округ";"район Царицыно";"город Москва, Пролетарский проспект, дом 18";"Владимирская область";"01.04.2019-07.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.656693306607316, 55.634940316808425]}";
"39";"918223362";"Зеленоградский административный округ";"район Старое Крюково";"город Москва, город Зеленоград, Крюковская площадь, дом 1";"Тамбовская область";"01.04.2019-07.04.2019";"сельскохозяйственная продукция, продовольственная продукция, промышленные товары.";"{type=Point, coordinates=[37.174850913799325, 55.98012131195869]}";
"39";"918223363";"Зеленоградский административный округ";"район Старое Крюково";"город Москва, город Зеленоград, Крюковская площадь, дом 1";"Тамбовская область";"11.04.2019-17.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.174850913799325, 55.98012131195869]}";
"39";"918223364";"Зеленоградский административный округ";"район Старое Крюково";"город Москва, город Зеленоград, Крюковская площадь, дом 1";"Курская область";"01.02.2019-07.02.2019";"сельскохозяйственная продукция, продовольственная продукция, промышленные товары.";"{type=Point, coordinates=[37.174850913799325, 55.98012131195869]}";
"112";"918223365";"Юго-Восточный административный округ";"район Люблино";"город Москва, Краснодарская улица, дом 57, корпус 1";"Саратовская область";"11.04.2019-17.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.766164, 55.676494]}";
"112";"918223366";"Юго-Восточный административный округ";"район Люблино";"город Москва, Краснодарская улица, дом 57, корпус 1";"Калужская область";"21.04.2019-27.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.766164, 55.676494]}";
"112";"918223367";"Юго-Восточный административный округ";"район Люблино";"город Москва, Краснодарская улица, дом 57, корпус 1";"Чувашская Республика";"11.04.2019-17.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.766164, 55.676494]}";
"112";"918223368";"Юго-Восточный административный округ";"район Люблино";"город Москва, Краснодарская улица, дом 57, корпус 1";"Рязанская область";"01.04.2019-07.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.766164, 55.676494]}";
"115";"918223369";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Рязанская область";"01.02.2019-07.02.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
"115";"918223370";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Рязанская область";"01.03.2019-07.03.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
"115";"918223371";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Рязанская область";"01.04.2019-07.04.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
"115";"918223372";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Белгородская область";"11.01.2019-17.01.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
"115";"918223373";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Калужская область";"21.01.2019-27.01.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
"115";"918223374";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Белгородская область";"11.02.2019-17.02.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
"115";"918223375";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Калужская область";"21.02.2019-27.02.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
"115";"918223376";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Белгородская область";"11.03.2019-17.03.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
"115";"918223377";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1, строение 4";"Калужская область";"21.03.2019-27.03.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.510358, 55.618278]}";
